Price (00s),SqFt,Age,Features,Cust,Corner,Tax
902.00,1140,59,3,0,1,1066.00
909.00,1069,30,3,0,0,1056.26
1121.00,1280,41,1,0,0,1303.00
1229.00,1210,38,6,1,0,1109.00
1280.00,1050,31,2,0,1,1203.00
1321.00,1246,32,4,1,0,1050.89
1334.00,1156,23,1,0,0,
1362.00,1118,39,7,1,0,1567.02
1430.00,1250,45,3,1,0,1164.00
1443.00,1215,17,3,0,0,1037.00
1488.00,1478,53,3,0,1,1361.00
1537.00,1311,23,4,0,0,1244.00
1537.00,1430,49,3,0,0,1635.00
1558.00,1327,34,6,1,0,1809.00
1604.00,1429,28,5,0,0,1403.00
1634.00,1440,12,4,0,0,1418.00
1681.00,1815,14,1,0,0,1918.00
1714.00,1482,26,3,0,0,1472.00
1715.00,1050,36,1,0,0,
1741.00,1725,47,3,0,0,2007.00
1759.00,1537,12,5,0,1,1546.00
1794.00,1293,29,6,0,0,1220.00
1807.00,1360,38,4,0,0,1514.00
1811.00,1746,62,2,0,0,1285.00
1818.00,1121,46,4,0,0,866.00
1833.00,1205,27,6,0,0,1325.73
1839.00,1703,9,2,0,0,1768.00
1847.00,1273,36,6,0,0,1409.81
1875.00,1299,39,6,0,0,1272.00
1912.00,1192,25,6,0,1,1432.66
1916.00,1896,5,6,1,0,1533.07
1921.00,1608,15,7,0,0,1296.77
1950.00,1767,16,4,0,0,1727.00
1962.00,1880,8,6,0,0,2022.00
2024.00,1394,34,8,0,0,1355.00
2029.00,1400,16,2,0,1,1590.00
2058.00,1500,15,4,0,0,1616.00
2077.00,1353,22,4,1,0,1300.00
2115.00,1181,24,4,0,0,957.00
2135.00,1630,15,3,0,1,1885.00
2142.00,1423,36,9,0,0,1394.00
2169.00,1574,17,8,1,0,1484.14
2174.00,1414,34,3,0,0,1381.00
2199.00,1680,17,4,0,1,1631.00
2200.00,1973,12,2,1,0,2129.00
2233.00,2055,22,3,0,0,
2238.00,1712,28,8,1,0,1781.00
2240.00,2018,9,3,1,0,2190.00
2254.00,1478,29,6,0,0,1468.00
2258.00,1618,17,8,0,0,1655.00
2267.00,1421,27,8,0,0,1392.00
2288.00,1694,5,6,0,1,1318.93
2293.00,1695,31,2,0,0,1423.97
2314.00,1326,29,4,0,0,1453.00
2354.00,1573,17,6,0,0,1670.00
2437.00,1190,41,1,0,0,1305.00
2446.00,1733,43,6,0,0,1427.00
2446.00,1343,28,2,0,0,1287.00
2455.00,1928,18,8,1,0,1305.00
2496.00,1464,47,2,1,0,1231.00
2522.00,1710,1,3,1,0,2196.00
2527.00,1713,30,4,0,1,1305.00
2531.00,1390,30,5,0,0,1576.51
2546.00,1595,32,1,0,0,1624.00
2564.00,1556,40,3,1,0,2022.81
2592.00,1863,8,3,0,0,1082.00
2620.00,1952,24,6,0,0,2100.00
2638.00,1792,35,9,0,0,3198.19
2641.00,1385,28,2,0,0,1420.00
2660.00,1922,8,8,1,0,2130.88
2673.00,1794,11,6,0,1,1777.77
2691.00,1920,1,5,1,0,2524.00
2692.00,1830,31,3,0,0,1594.00
2692.00,1730,21,2,0,0,1805.00
2699.00,2200,28,4,0,0,2250.00
2770.00,1917,22,9,0,0,2301.94
2801.00,1643,27,4,0,0,1690.00
2822.00,2150,2,4,0,0,
2826.00,1684,25,8,0,0,1744.00
2852.00,1885,20,7,0,1,2220.28
2871.00,2385,10,8,0,0,1813.73
2937.00,2254,4,2,1,0,2505.00
2982.00,1894,14,5,1,0,2418.00
2983.00,2026,11,4,0,1,2200.00
3013.00,2000,6,3,1,0,2340.00
3034.00,1733,9,2,0,0,1807.00
3057.00,1631,22,1,0,0,1672.00
3115.00,2530,12,7,0,0,2803.61
3132.00,1785,22,1,0,0,1879.00
3160.00,2213,7,5,0,0,1913.05
3171.00,1837,4,5,0,0,2590.00
3171.00,2245,19,8,1,0,2494.00
3222.00,2003,10,1,0,1,2170.00
3264.00,2276,4,1,0,1,2533.00
3319.00,2065,27,9,0,1,1670.19
3328.00,2341,37,9,1,0,2511.24
3331.00,2440,17,5,1,0,2750.00
3337.00,2478,11,2,0,0,2574.33
3339.00,2200,11,8,0,0,2433.00
3391.00,2637,25,4,0,0,
3411.00,2150,15,3,0,0,2140.00
3439.00,2363,27,6,1,1,3659.94
3468.00,2164,2,8,0,0,2968.76
3534.00,2277,33,4,1,0,
3538.00,2527,23,6,0,0,2481.06
3566.00,2349,31,3,0,1,3148.20
3568.00,2686,43,5,0,0,2641.20
3572.00,2703,21,6,1,0,3257.99
3595.00,2286,7,2,0,0,2548.00
3596.00,2481,8,3,1,0,2695.09
3601.00,2580,4,4,1,0,3766.00
3609.00,2277,28,7,0,0,2517.46
3629.00,2600,20,4,1,0,2366.00
3633.00,2467,33,4,0,0,2790.00
3651.00,2253,23,4,1,0,2042.00
3699.00,2192,6,9,1,0,2422.00
3745.00,2765,19,3,1,1,2341.35
3765.00,2153,17,6,1,0,2370.00
3784.00,2115,5,2,1,0,1997.59
3803.00,2434,11,3,0,0,3812.38
3891.00,2425,12,9,1,0,
3968.00,2694,3,2,0,0,3092.00
3971.00,2576,30,3,0,0,3070.42
3980.00,2852,21,7,0,1,4259.67
3984.00,2548,15,8,1,0,3516.65
3987.00,2580,4,4,0,0,3335.00
4008.00,2774,14,2,0,0,2795.59
4027.00,3042,44,2,1,0,3965.64
4061.00,2692,5,5,0,0,3090.00
4077.00,2566,51,3,1,0,3238.39
4165.00,3051,1,6,0,0,3193.14
4207.00,2752,23,2,1,0,2536.01
4220.00,2743,25,5,1,1,2679.00
4291.00,2760,1,4,0,0,3640.99
4298.00,2669,29,5,0,0,
4301.00,2931,28,3,0,1,2483.00
4339.00,2929,8,7,0,0,2561.73
4402.00,2650,13,7,1,0,3564.00
4427.00,2484,2,2,1,0,3924.27
4449.00,2921,3,6,1,0,3555.00
4485.00,2955,9,3,0,1,2969.17
4628.00,3077,10,9,0,0,3381.86
4650.00,2943,13,2,0,0,5114.36
4716.00,2774,2,4,0,0,3837.00
4728.00,2832,10,8,0,1,3386.02
4979.00,3081,2,3,0,0,2796.33
5061.00,2664,6,5,1,0,2594.00
5078.00,3005,0,4,0,0,3996.53
